domain_name,platform
dev.ch-poitiers.fr,gitlab
forge.grandlyon.com,gitlab
forgemia.inra.fr,gitlab
framagit.org,gitlab
gforge.inria.fr,fusionforge
git.ademe.fr,gitlab
git.beta.pole-emploi.fr,gitlab
git.cines.fr,gitlab
git.unicaen.fr,gitlab
git.unistra.fr,gitlab
github.com,github
gitlab.adullact.net,gitlab
gitlab.ccsd.cnrs.fr,gitlab
gitlab.cerema.fr,gitlab
gitlab.com,gitlab
gitlab.huma-num.fr,gitlab
gitlab.in2p3.fr,gitlab
gitlab.inria.fr,gitlab
gitlab.irstea.fr,gitlab
gitlab.math.unistra.fr,gitlab
gitlab.orfeo-toolbox.org,gitlab
gitlab.ow2.org,gitlab
gitlabjf.ccomptes.fr,gitlab
gitub.u-bordeaux.fr,gitlab
sourcesup.renater.fr,fusionforge
forge.univ-lyon1.fr,gitlab
